;A;CA;CV;DD;DP;FC;FD;FF;FS;FT;G;GC;GS;I;PE;PP;RB;SG;atletas_scout;apelido;atleta_id;clubename;clube_id;jogos_num;media_num;nome;pontos_num;posicao_id;preco_num;Rodada;status_id;variacao_num
0;;;;;;;;;;;;;;;;;;;;Juan;36540;Flamengo;FLA;0;0;Juan Silveira dos Santos;0;zag;5;0;Nulo;0
1;;;;;;;;;;;;;;;;;;;;Ze Roberto;36612;Palmeiras;PAL;0;0;Jose Roberto da Silva Junior;0;lat;8;0;Provavel;0
2;;;;;;;;;;;;;;;;;;;;Paulo Autuori;36943;;ATL;0;0;Paulo Autuori;0;tec;10;0;Provavel;0
3;;;;;;;;;;;;;;;;;;;;Guto Ferreira;37245;;BAH;0;0;Augusto Sergio Ferreira;0;tec;4;0;Provavel;0
4;;;;;;;;;;;;;;;;;;;;Ney Franco;37246;;SPO;0;0;Ney Franco da Silveira Junior;0;tec;4;0;Provavel;0
5;;;;;;;;;;;;;;;;;;;;Mano Menezes;37281;Cruzeiro;CRU;0;0;Luis Antônio Venker de Menezes;0;tec;12;0;Provavel;0
6;;;;;;;;;;;;;;;;;;;;Gilson Kleina;37306;Ponte Preta;PON;0;0;Gilson Kleina;0;tec;4;0;Provavel;0
7;;;;;;;;;;;;;;;;;;;;Marcelo Cabo;37333;;ATL;0;0;Marcelo Ribeiro Cabo;0;tec;2;0;Provavel;0
8;;;;;;;;;;;;;;;;;;;;Paulo Andre;37604;Atletico-PR;ATL;0;0;Paulo Andre Cren Benini;0;zag;6;0;Nulo;0
9;;;;;;;;;;;;;;;;;;;;Michel Bastos;37607;Palmeiras;PAL;0;0;Michel Fernandes Bastos;0;mei;8;0;Nulo;0
10;;;;;;;;;;;;;;;;;;;;Cristian;37608;Corinthians;COR;0;0;Cristian Mark Junio Nascimento Oliveira Baroni;0;mei;4;0;Nulo;0
11;;;;;;;;;;;;;;;;;;;;Rafael Marques;37623;Vasco;VAS;0;0;Rafael Marques Pinto;0;zag;7;0;Provavel;0
12;;;;;;;;;;;;;;;;;;;;Diguinho;37627;;VAS;0;0;Rodrigo Oliveira de Bittencourt;0;mei;3;0;Nulo;0
13;;;;;;;;;;;;;;;;;;;;Rodrigo;37644;Ponte Preta;PON;0;0;Rodrigo Baldasso da Costa;0;zag;10;0;Nulo;0
14;;;;;;;;;;;;;;;;;;;;Marcelo Mattos;37645;Vasco;VAS;0;0;Marcelo Mendonca de Mattos Terra;0;mei;4;0;Nulo;0
15;;;;;;;;;;;;;;;;;;;;Betao;37646;Avai;AVA;0;0;Ebert Willian Amancio;0;zag;5;0;Provavel;0
16;;;;;;;;;;;;;;;;;;;;Carlos Alberto;37652;Atletico-PR;ATL;0;0;Carlos Alberto Gomes de Jesus;0;mei;8;0;Contundido;0
17;;;;;;;;;;;;;;;;;;;;Rafael Moura;37655;Atletico-MG;ATL;0;0;Rafael Martiniano de Miranda Moura;0;ata;8;0;Nulo;0
18;;;;;;;;;;;;;;;;;;;;Fabio;37656;Cruzeiro;CRU;0;0;Fabio Deivson Lopes Maciel;0;gol;12;0;Nulo;0
19;;;;;;;;;;;;;;;;;;;;Edu Dracena;37657;Palmeiras;PAL;0;0;Eduardo Luis Abonizio de Souza;0;zag;8;0;Provavel;0
20;;;;;;;;;;;;;;;;;;;;Jonathan;37662;Atletico-PR;ATL;0;0;Jonathan Cicero Moreira;0;lat;9;0;Provavel;0
21;;;;;;;;;;;;;;;;;;;;Julio Cesar;37663;Vasco;VAS;0;0;Julio Cesar Coelho de Moraes Junior;0;lat;3;0;Nulo;0
22;;;;;;;;;;;;;;;;;;;;Alecsandro;37673;Coritiba;COR;0;0;Alecsandro Barbosa Felisbino;0;ata;8;0;Duvida;0
23;;;;;;;;;;;;;;;;;;;;Wagner;37674;Vasco;VAS;0;0;Wagner Ferreira dos Santos;0;mei;8;0;Provavel;0
24;;;;;;;;;;;;;;;;;;;;Cicero;37688;Sao Paulo;SAO;0;0;Cicero Santos;0;mei;11;0;Provavel;0
25;;;;;;;;;;;;;;;;;;;;Henrique;37694;Cruzeiro;CRU;0;0;Henrique Pacheco de Lima;0;mei;11;0;Provavel;0
26;;;;;;;;;;;;;;;;;;;;Leo Moura;37701;Gremio;GRE;0;0;Leonardo da Silva Moura;0;lat;9;0;Provavel;0
27;;;;;;;;;;;;;;;;;;;;Arouca;37718;Palmeiras;PAL;0;0;Marcos Arouca da Silva;0;mei;6;0;Contundido;0
28;;;;;;;;;;;;;;;;;;;;Marcelo Grohe;37770;Gremio;GRE;0;0;Marcelo Grohe;0;gol;12;0;Provavel;0
29;;;;;;;;;;;;;;;;;;;;Edinho;37792;Coritiba;COR;0;0;Edimo Ferreira Campos;0;mei;6;0;Nulo;0
30;;;;;;;;;;;;;;;;;;;;Rafael Sobis;37798;Cruzeiro;CRU;0;0;Rafael Augusto Sobis do Nascimento;0;ata;13;0;Contundido;0
31;;;;;;;;;;;;;;;;;;;;Gustavo;37840;Avai;AVA;0;0;Gustavo Franchin Schiavolin;0;zag;6;0;Nulo;0
32;;;;;;;;;;;;;;;;;;;;Maicosuel;37851;Sao Paulo;ATL;0;0;Maicosuel Reginaldo de Matos;0;mei;8;0;Nulo;0
33;;;;;;;;;;;;;;;;;;;;Luis Fabiano;37919;Vasco;VAS;0;0;Luis Fabiano Clemente;0;ata;11;0;Provavel;0
34;;;;;;;;;;;;;;;;;;;;Aranha;37984;Ponte Preta;PON;0;0;Mario Lucio Duarte Costa;0;gol;9;0;Provavel;0
35;;;;;;;;;;;;;;;;;;;;Anderson;38001;Bahia;BAH;0;0;Anderson Pedro Nunes da Silva Campos;0;gol;1;0;Nulo;0
36;;;;;;;;;;;;;;;;;;;;Wendel;38021;Ponte Preta;PON;0;0;Wendel Geraldo Mauricio e Silva;0;mei;8;0;Nulo;0
37;;;;;;;;;;;;;;;;;;;;Lugano;38062;Sao Paulo;SAO;0;0;Diego Alfredo Lugano Moreno;0;zag;5;0;Nulo;0
38;;;;;;;;;;;;;;;;;;;;Danilo;38067;Corinthians;COR;0;0;Danilo Gabriel de Andrade;0;mei;5;0;Nulo;0
39;;;;;;;;;;;;;;;;;;;;Durval;38100;Sport;SPO;0;0;Severino dos Ramos Durval da Silva;0;zag;6;0;Nulo;0
40;;;;;;;;;;;;;;;;;;;;Jefferson;38109;Botafogo;BOT;0;0;Jefferson de Oliveira Galvao;0;gol;9;0;Contundido;0
41;;;;;;;;;;;;;;;;;;;;Jô;38138;Corinthians;COR;0;0;Joao Alves de Assis Silva;0;ata;5;0;Provavel;0
42;;;;;;;;;;;;;;;;;;;;Fernando Prass;38140;Palmeiras;PAL;0;0;Fernando Buttenbender Prass;0;gol;8;0;Provavel;0
43;;;;;;;;;;;;;;;;;;;;Marquinhos;38150;Avai;AVA;0;0;Marcos Vicente dos Santos;0;mei;8;0;Provavel;0
